USN,LINE,WORKSTATION,STAGE,TRNDATA,TRNDATE,PASSCOUNT,RESULTFLAG,USERID,INSERTTIME,LINENO,VENDOR,A_ERRORCODE,AQM_ERRORCODE
USN000195,LINE003,WORKSTATION008,M4,USN000963,26-03-06 09:44:52,2,T,USER013,26-03-06 13:37:11,5,VENDOR4,,
USN000196,LINE005,WORKSTATION004,M1,USN000472,26-03-07 00:40:10,3,T,USER010,26-03-07 22:18:50,2,VENDOR5,,
USN000197,LINE005,WORKSTATION003,M2,USN000092,26-03-08 23:48:17,0,T,USER012,26-03-08 19:24:28,4,VENDOR1,,
USN000198,LINE001,WORKSTATION008,M3,USN000699,26-03-09 16:02:10,2,T,USER005,26-03-09 23:12:09,5,VENDOR1,,
USN000199,LINE004,WORKSTATION003,M3,USN000345,26-03-10 21:54:29,3,T,USER015,26-03-10 02:30:33,1,VENDOR4,,
USN000200,LINE003,WORKSTATION005,M5,USN000329,26-03-11 07:21:44,2,T,USER013,26-03-11 17:49:57,4,VENDOR1,,
USN000201,LINE001,WORKSTATION003,M2,USN000323,26-03-12 02:26:47,2,T,USER003,26-03-12 11:31:20,3,VENDOR5,,
USN000202,LINE003,WORKSTATION005,M4,USN000400,26-03-13 08:13:40,1,T,USER008,26-03-13 09:23:54,5,VENDOR2,,
USN000203,LINE004,WORKSTATION005,M4,USN000737,26-03-14 00:17:14,0,T,USER019,26-03-14 14:28:35,4,VENDOR4,,
USN000204,LINE004,WORKSTATION009,M1,USN000022,26-03-15 13:32:22,3,T,USER011,26-03-15 20:22:59,5,VENDOR1,,
USN000205,LINE003,WORKSTATION010,M3,USN000024,26-03-16 15:35:22,2,F,USER004,26-03-16 12:43:04,2,VENDOR4,,
USN000206,LINE002,WORKSTATION010,M3,USN000984,26-03-17 10:14:32,2,T,USER002,26-03-17 10:36:53,3,VENDOR3,,
USN000207,LINE003,WORKSTATION007,M5,USN000279,26-03-18 16:37:36,1,F,USER003,26-03-18 13:11:20,3,VENDOR4,,
USN000208,LINE001,WORKSTATION008,M3,USN000815,26-03-19 00:05:54,3,T,USER014,26-03-19 18:10:37,1,VENDOR1,,
USN000209,LINE001,WORKSTATION004,M1,USN000816,26-03-20 01:51:10,1,T,USER009,26-03-20 18:29:05,3,VENDOR1,,
USN000210,LINE002,WORKSTATION002,M5,USN000309,26-03-21 08:11:52,0,T,USER019,26-03-21 21:06:14,4,VENDOR1,,
USN000211,LINE003,WORKSTATION003,M3,USN000893,26-03-22 23:59:41,3,T,USER005,26-03-22 13:18:18,3,VENDOR2,,
USN000212,LINE004,WORKSTATION004,M2,USN000175,26-03-23 15:01:33,1,F,USER010,26-03-23 05:05:01,3,VENDOR3,,
USN000213,LINE005,WORKSTATION003,M3,USN000049,26-03-24 10:02:44,1,T,USER003,26-03-24 20:21:32,5,VENDOR5,,
USN000214,LINE002,WORKSTATION007,M5,USN000008,26-03-25 15:15:28,1,T,USER017,26-03-25 15:04:25,4,VENDOR2,,
USN000215,LINE002,WORKSTATION007,M5,USN000276,26-03-26 04:01:08,1,T,USER020,26-03-26 17:17:03,5,VENDOR2,,
USN000216,LINE001,WORKSTATION010,M5,USN000586,26-03-27 01:27:06,3,T,USER015,26-03-27 19:28:32,5,VENDOR5,,
USN000217,LINE002,WORKSTATION009,M1,USN000252,26-03-28 22:43:08,0,T,USER006,26-03-28 13:38:00,4,VENDOR1,,
USN000218,LINE001,WORKSTATION002,M5,USN000632,26-03-29 10:20:22,1,T,USER011,26-03-29 23:56:17,2,VENDOR5,K8725586,
USN000219,LINE001,WORKSTATION004,M2,USN000200,26-03-30 22:06:35,0,T,USER006,26-03-30 21:54:54,3,VENDOR2,,
USN000220,LINE004,WORKSTATION008,M3,USN000222,26-03-31 14:33:20,1,T,USER014,26-03-31 23:46:44,2,VENDOR2,,
USN000221,LINE004,WORKSTATION005,M1,USN000224,26-04-01 03:08:33,1,T,USER014,26-04-01 10:25:57,5,VENDOR2,,
USN000222,LINE001,WORKSTATION009,M3,USN000722,26-04-02 01:18:50,2,T,USER019,26-04-02 10:39:13,4,VENDOR2,,
USN000223,LINE004,WORKSTATION003,M1,USN000811,26-04-03 09:59:08,1,T,USER010,26-04-03 16:47:38,5,VENDOR5,,
USN000224,LINE005,WORKSTATION002,M1,USN000787,26-04-04 01:58:08,0,T,USER008,26-04-04 11:57:39,4,VENDOR4,,
USN000225,LINE002,WORKSTATION007,M4,USN000727,26-04-05 19:18:24,2,T,USER013,26-04-05 08:25:43,1,VENDOR1,,
USN000226,LINE002,WORKSTATION009,M4,USN000947,26-04-06 19:17:34,3,F,USER008,26-04-06 04:03:33,1,VENDOR3,,
USN000227,LINE002,WORKSTATION005,M3,USN000698,26-04-07 22:24:08,1,F,USER019,26-04-07 20:04:50,2,VENDOR2,,ERROR1
USN000228,LINE005,WORKSTATION005,M5,USN000182,26-04-08 08:01:44,2,T,USER007,26-04-08 18:01:31,2,VENDOR2,,
USN000229,LINE001,WORKSTATION006,M5,USN000113,26-04-09 00:00:03,0,T,USER003,26-04-09 09:37:30,2,VENDOR3,,
USN000230,LINE005,WORKSTATION003,M3,USN000194,26-04-10 23:25:31,2,T,USER017,26-04-10 09:38:21,4,VENDOR1,,
USN000231,LINE002,WORKSTATION009,M3,USN000979,26-04-11 08:46:22,2,T,USER005,26-04-11 19:41:13,1,VENDOR5,,
USN000232,LINE005,WORKSTATION002,M4,USN000940,26-04-12 12:30:16,0,F,USER012,26-04-12 16:30:32,1,VENDOR4,,ERROR3
USN000233,LINE003,WORKSTATION001,M2,USN000705,26-04-13 02:10:01,2,T,USER011,26-04-13 11:25:35,3,VENDOR5,,
USN000234,LINE004,WORKSTATION005,M3,USN000169,26-04-14 07:56:04,2,T,USER003,26-04-14 18:52:08,2,VENDOR4,,
USN000235,LINE005,WORKSTATION001,M1,USN000249,26-04-15 12:34:49,0,T,USER004,26-04-15 07:29:51,3,VENDOR1,,
USN000236,LINE001,WORKSTATION009,M5,USN000148,26-04-16 09:43:50,3,T,USER001,26-04-16 10:00:56,5,VENDOR3,,
USN000237,LINE001,WORKSTATION010,M2,USN000998,26-04-17 13:00:52,2,T,USER017,26-04-17 09:36:50,1,VENDOR5,,
USN000238,LINE001,WORKSTATION010,M5,USN000942,26-04-18 11:44:54,2,T,USER001,26-04-18 15:30:51,2,VENDOR4,,
USN000239,LINE002,WORKSTATION003,M1,USN000063,26-04-19 04:02:59,2,T,USER011,26-04-19 22:20:28,1,VENDOR4,,
USN000240,LINE001,WORKSTATION005,M1,USN000801,26-04-20 12:58:48,3,T,USER018,26-04-20 23:03:48,2,VENDOR4,,
USN000241,LINE001,WORKSTATION006,M5,USN000679,26-04-21 03:12:43,2,T,USER007,26-04-21 13:21:06,2,VENDOR2,,ERROR1
USN000242,LINE004,WORKSTATION005,M2,USN000575,26-04-22 19:50:08,3,T,USER009,26-04-22 23:21:39,3,VENDOR4,K8677346,
USN000243,LINE001,WORKSTATION010,M2,USN000886,26-04-23 03:50:06,1,T,USER004,26-04-23 06:19:18,1,VENDOR3,,
USN000244,LINE005,WORKSTATION009,M2,USN000925,26-04-24 09:15:04,2,T,USER005,26-04-24 06:19:11,3,VENDOR3,,
USN000245,LINE005,WORKSTATION007,M4,USN000699,26-04-25 17:42:27,0,T,USER017,26-04-25 00:08:18,4,VENDOR2,,
USN000246,LINE005,WORKSTATION010,M3,USN000046,26-04-26 12:44:07,3,T,USER013,26-04-26 14:47:56,5,VENDOR4,,
USN000247,LINE004,WORKSTATION002,M5,USN000012,26-04-27 17:39:52,0,T,USER005,26-04-27 19:38:44,4,VENDOR3,,
USN000248,LINE003,WORKSTATION004,M5,USN000204,26-04-28 16:29:52,2,T,USER019,26-04-28 14:30:12,2,VENDOR4,,
USN000249,LINE001,WORKSTATION002,M3,USN000699,26-04-29 05:49:47,0,T,USER013,26-04-29 02:21:51,5,VENDOR1,,
USN000250,LINE002,WORKSTATION006,M1,USN000917,26-04-30 15:25:14,1,T,USER020,26-04-30 18:54:58,4,VENDOR3,,
USN000251,LINE003,WORKSTATION003,M5,USN000427,26-05-01 07:56:38,3,T,USER019,26-05-01 10:08:07,3,VENDOR4,,
USN000252,LINE002,WORKSTATION001,M1,USN000778,26-05-02 16:09:24,2,T,USER008,26-05-02 02:18:19,2,VENDOR4,,
USN000253,LINE005,WORKSTATION003,M3,USN000294,26-05-03 16:05:09,3,T,USER001,26-05-03 12:01:51,5,VENDOR5,,
USN000254,LINE001,WORKSTATION002,M2,USN000278,26-05-04 07:55:17,3,T,USER005,26-05-04 01:03:27,3,VENDOR1,,ERROR4
USN000255,LINE002,WORKSTATION005,M4,USN000637,26-05-05 06:37:18,0,T,USER008,26-05-05 12:43:49,5,VENDOR1,,
USN000256,LINE004,WORKSTATION004,M1,USN000970,26-05-06 12:01:23,0,T,USER015,26-05-06 02:20:56,1,VENDOR5,,
USN000257,LINE005,WORKSTATION006,M5,USN000666,26-05-07 02:13:25,1,T,USER017,26-05-07 15:25:46,4,VENDOR4,,
USN000258,LINE003,WORKSTATION007,M5,USN000236,26-05-08 05:23:04,1,T,USER003,26-05-08 02:37:41,5,VENDOR3,,
USN000259,LINE002,WORKSTATION004,M2,USN000228,26-05-09 02:11:45,0,T,USER016,26-05-09 06:05:26,2,VENDOR3,,
USN000260,LINE004,WORKSTATION002,M1,USN000216,26-05-10 17:46:25,0,T,USER017,26-05-10 12:51:31,4,VENDOR5,,ERROR1
USN000261,LINE004,WORKSTATION006,M2,USN000880,26-05-11 18:53:47,0,T,USER001,26-05-11 20:29:12,2,VENDOR3,,
USN000262,LINE002,WORKSTATION009,M5,USN000399,26-05-12 18:22:00,1,T,USER007,26-05-12 10:30:31,4,VENDOR5,,
USN000263,LINE001,WORKSTATION009,M5,USN000126,26-05-13 17:28:02,1,T,USER009,26-05-13 12:32:30,5,VENDOR2,,
USN000264,LINE003,WORKSTATION002,M5,USN000143,26-05-14 02:13:07,1,T,USER014,26-05-14 10:25:49,2,VENDOR5,,
USN000265,LINE002,WORKSTATION007,M1,USN000627,26-05-15 02:05:27,2,F,USER016,26-05-15 13:18:40,5,VENDOR1,,
USN000266,LINE002,WORKSTATION004,M2,USN000495,26-05-16 02:30:39,1,T,USER020,26-05-16 05:53:59,2,VENDOR2,,
USN000267,LINE003,WORKSTATION008,M4,USN000065,26-05-17 16:41:45,2,T,USER003,26-05-17 03:55:42,5,VENDOR3,,ERROR5
USN000268,LINE005,WORKSTATION001,M3,USN000001,26-05-18 22:36:01,1,T,USER013,26-05-18 22:52:20,4,VENDOR4,,
USN000269,LINE001,WORKSTATION010,M4,USN000871,26-05-19 04:39:30,2,T,USER020,26-05-19 00:33:25,4,VENDOR2,,
USN000270,LINE001,WORKSTATION005,M4,USN000307,26-05-20 05:05:01,1,T,USER009,26-05-20 03:53:23,4,VENDOR4,,
USN000271,LINE005,WORKSTATION001,M3,USN000018,26-05-21 08:52:06,1,T,USER014,26-05-21 15:57:48,5,VENDOR3,,
USN000272,LINE003,WORKSTATION006,M4,USN000152,26-05-22 11:49:03,0,T,USER005,26-05-22 13:27:31,1,VENDOR5,,
USN000273,LINE005,WORKSTATION005,M2,USN000199,26-05-23 15:06:20,0,T,USER020,26-05-23 00:27:54,4,VENDOR1,,
USN000274,LINE002,WORKSTATION007,M3,USN000811,26-05-24 04:09:53,3,T,USER012,26-05-24 12:34:49,4,VENDOR5,K6033478,
USN000275,LINE002,WORKSTATION008,M4,USN000327,26-05-25 23:43:08,1,T,USER001,26-05-25 10:11:17,3,VENDOR2,,
USN000276,LINE002,WORKSTATION001,M4,USN000146,26-05-26 02:13:23,0,T,USER017,26-05-26 17:25:29,5,VENDOR4,K8976115,
USN000277,LINE003,WORKSTATION002,M1,USN000195,26-05-27 16:39:14,2,T,USER003,26-05-27 19:08:03,3,VENDOR3,,ERROR1
USN000278,LINE004,WORKSTATION008,M4,USN000868,26-05-28 20:07:14,2,T,USER014,26-05-28 18:26:50,3,VENDOR3,,
USN000279,LINE004,WORKSTATION007,M2,USN000580,26-05-29 06:31:47,1,T,USER017,26-05-29 11:32:30,1,VENDOR1,,
USN000280,LINE002,WORKSTATION006,M1,USN000939,26-05-30 01:41:54,2,T,USER012,26-05-30 02:39:23,1,VENDOR1,,
USN000281,LINE001,WORKSTATION007,M2,USN000718,26-05-31 03:26:07,3,T,USER014,26-05-31 21:51:14,2,VENDOR2,K7834413,ERROR2
USN000282,LINE004,WORKSTATION006,M3,USN000459,26-06-01 14:20:00,1,T,USER003,26-06-01 16:25:09,2,VENDOR5,,
USN000283,LINE005,WORKSTATION001,M4,USN000681,26-06-02 22:05:07,2,T,USER008,26-06-02 09:19:46,4,VENDOR4,,
USN000284,LINE005,WORKSTATION004,M1,USN000409,26-06-03 18:25:41,2,T,USER020,26-06-03 10:23:26,1,VENDOR4,,
USN000285,LINE001,WORKSTATION001,M4,USN000925,26-06-04 08:43:59,2,T,USER001,26-06-04 09:52:26,1,VENDOR3,K0956881,
USN000286,LINE002,WORKSTATION001,M4,USN000163,26-06-05 06:16:16,3,T,USER015,26-06-05 15:25:12,5,VENDOR4,,
USN000287,LINE001,WORKSTATION009,M3,USN000658,26-06-06 06:14:50,2,T,USER012,26-06-06 23:53:05,5,VENDOR1,,
USN000288,LINE001,WORKSTATION001,M5,USN000751,26-06-07 16:20:18,2,T,USER010,26-06-07 07:48:11,2,VENDOR5,,
USN000289,LINE001,WORKSTATION003,M5,USN000009,26-06-08 14:42:31,3,T,USER011,26-06-08 18:40:27,3,VENDOR3,,
USN000290,LINE001,WORKSTATION005,M3,USN000261,26-06-09 03:47:25,1,T,USER012,26-06-09 10:25:48,1,VENDOR2,,
USN000291,LINE001,WORKSTATION010,M2,USN000077,26-06-10 08:55:27,0,T,USER002,26-06-10 15:46:11,1,VENDOR2,,
USN000292,LINE005,WORKSTATION007,M3,USN000787,26-06-11 12:57:44,1,T,USER020,26-06-11 08:35:44,4,VENDOR1,,
USN000293,LINE005,WORKSTATION006,M5,USN000832,26-06-12 16:27:26,0,T,USER007,26-06-12 11:05:00,2,VENDOR5,,
USN000294,LINE002,WORKSTATION005,M2,USN000671,26-06-13 18:14:23,2,F,USER013,26-06-13 14:32:29,2,VENDOR2,K7482480,
USN000295,LINE001,WORKSTATION005,M5,USN000517,26-06-14 00:56:20,2,T,USER012,26-06-14 14:48:43,4,VENDOR5,,
USN000296,LINE001,WORKSTATION005,M3,USN000486,26-06-15 18:41:52,0,T,USER006,26-06-15 20:34:12,4,VENDOR1,,
USN000297,LINE002,WORKSTATION005,M4,USN000769,26-06-16 12:58:26,0,T,USER016,26-06-16 21:26:28,3,VENDOR5,,ERROR2
USN000298,LINE005,WORKSTATION010,M5,USN000423,26-06-17 06:28:17,3,T,USER011,26-06-17 05:14:11,5,VENDOR2,,
USN000299,LINE003,WORKSTATION003,M1,USN000226,26-06-18 09:33:11,1,T,USER017,26-06-18 12:39:20,5,VENDOR1,,
USN000300,LINE001,WORKSTATION005,M3,USN000075,26-06-19 04:52:04,0,T,USER017,26-06-19 06:34:17,1,VENDOR1,,
USN000301,LINE002,WORKSTATION005,M5,USN000458,26-06-20 02:35:53,0,T,USER014,26-06-20 19:31:51,4,VENDOR4,,ERROR5
USN000302,LINE004,WORKSTATION004,M5,USN000954,26-06-21 16:26:51,3,T,USER001,26-06-21 15:02:27,3,VENDOR1,,
USN000303,LINE003,WORKSTATION006,M1,USN000367,26-06-22 00:08:28,3,T,USER019,26-06-22 22:15:39,4,VENDOR2,K2941943,
USN000304,LINE005,WORKSTATION002,M3,USN000556,26-06-23 14:47:43,1,T,USER006,26-06-23 20:37:46,4,VENDOR3,,
USN000305,LINE003,WORKSTATION003,M2,USN000064,26-06-24 21:43:31,3,T,USER013,26-06-24 11:01:05,2,VENDOR1,,
USN000306,LINE003,WORKSTATION009,M5,USN000339,26-06-25 05:21:12,3,T,USER002,26-06-25 14:24:15,1,VENDOR1,,
USN000307,LINE002,WORKSTATION008,M5,USN000004,26-06-26 18:01:47,1,T,USER016,26-06-26 07:53:36,1,VENDOR5,,
USN000308,LINE002,WORKSTATION002,M1,USN000008,26-06-27 01:13:31,3,T,USER004,26-06-27 18:51:30,2,VENDOR5,,
USN000309,LINE003,WORKSTATION010,M3,USN000772,26-06-28 02:17:17,3,T,USER012,26-06-28 14:22:23,3,VENDOR2,,
USN000310,LINE001,WORKSTATION006,M3,USN000673,26-06-29 17:39:03,3,F,USER017,26-06-29 07:23:53,5,VENDOR1,,
USN000311,LINE003,WORKSTATION005,M5,USN000711,26-06-30 02:36:43,3,T,USER018,26-06-30 20:46:11,4,VENDOR4,,
USN000312,LINE002,WORKSTATION009,M5,USN000712,26-07-01 08:24:23,2,F,USER003,26-07-01 15:07:49,5,VENDOR2,,
USN000313,LINE001,WORKSTATION003,M4,USN000492,26-07-02 22:29:22,2,T,USER008,26-07-02 09:50:35,4,VENDOR5,,
USN000314,LINE002,WORKSTATION005,M4,USN000774,26-07-03 23:59:06,1,F,USER009,26-07-03 07:51:39,4,VENDOR5,,
USN000315,LINE005,WORKSTATION006,M5,USN000786,26-07-04 06:09:44,3,T,USER002,26-07-04 00:29:36,5,VENDOR3,,
USN000316,LINE005,WORKSTATION005,M3,USN000947,26-07-05 20:10:52,1,T,USER020,26-07-05 04:19:34,2,VENDOR4,,
USN000317,LINE003,WORKSTATION010,M2,USN000957,26-07-06 00:44:25,2,T,USER015,26-07-06 01:54:18,3,VENDOR1,,
USN000318,LINE003,WORKSTATION010,M5,USN000160,26-07-07 10:56:15,3,T,USER006,26-07-07 06:43:23,2,VENDOR1,,ERROR3
USN000319,LINE005,WORKSTATION009,M4,USN000956,26-07-08 12:07:50,3,T,USER019,26-07-08 20:22:55,2,VENDOR1,,ERROR2
USN000320,LINE003,WORKSTATION006,M5,USN000023,26-07-09 11:49:21,1,T,USER011,26-07-09 02:55:10,3,VENDOR4,,
USN000321,LINE004,WORKSTATION001,M2,USN000745,26-07-10 00:38:39,1,T,USER018,26-07-10 12:47:00,2,VENDOR5,K3470671,
USN000322,LINE002,WORKSTATION002,M5,USN000320,26-07-11 06:51:48,3,T,USER003,26-07-11 15:29:05,3,VENDOR3,K1452600,
USN000323,LINE003,WORKSTATION001,M3,USN000800,26-07-12 02:26:23,1,T,USER015,26-07-12 20:40:27,3,VENDOR4,,
USN000324,LINE004,WORKSTATION010,M1,USN000577,26-07-13 22:54:14,2,T,USER015,26-07-13 15:01:53,3,VENDOR1,,
USN000325,LINE001,WORKSTATION006,M4,USN000089,26-07-14 19:20:28,2,T,USER015,26-07-14 23:12:29,1,VENDOR4,,
USN000326,LINE004,WORKSTATION009,M1,USN000446,26-07-15 17:00:34,3,T,USER007,26-07-15 14:37:43,4,VENDOR1,,
USN000327,LINE004,WORKSTATION007,M2,USN000362,26-07-16 19:08:17,1,T,USER012,26-07-16 18:31:29,5,VENDOR1,,
USN000328,LINE004,WORKSTATION010,M2,USN000302,26-07-17 11:57:29,3,T,USER007,26-07-17 17:37:48,5,VENDOR1,,
USN000329,LINE005,WORKSTATION010,M2,USN000357,26-07-18 22:29:37,1,T,USER005,26-07-18 19:09:42,4,VENDOR4,,
USN000330,LINE002,WORKSTATION010,M2,USN000250,26-07-19 16:59:27,2,F,USER010,26-07-19 18:09:17,2,VENDOR1,,
USN000331,LINE003,WORKSTATION005,M4,USN000029,26-07-20 06:45:09,0,T,USER007,26-07-20 14:37:27,2,VENDOR4,,
USN000332,LINE002,WORKSTATION003,M5,USN000109,26-07-21 15:04:24,2,T,USER008,26-07-21 00:51:43,3,VENDOR3,,
USN000333,LINE005,WORKSTATION008,M3,USN000077,26-07-22 00:41:04,0,F,USER014,26-07-22 10:16:19,1,VENDOR2,,
USN000334,LINE002,WORKSTATION009,M4,USN000135,26-07-23 19:23:24,3,T,USER008,26-07-23 17:01:05,4,VENDOR4,K3112118,
USN000335,LINE003,WORKSTATION002,M3,USN000602,26-07-24 20:48:44,1,T,USER012,26-07-24 18:03:31,3,VENDOR5,K3506455,
USN000336,LINE004,WORKSTATION003,M1,USN000187,26-07-25 19:36:05,1,T,USER006,26-07-25 07:36:34,5,VENDOR2,,
USN000337,LINE003,WORKSTATION005,M1,USN000356,26-07-26 21:32:05,3,T,USER013,26-07-26 07:51:39,4,VENDOR3,,
USN000338,LINE003,WORKSTATION004,M4,USN000144,26-07-27 15:28:41,1,T,USER001,26-07-27 23:41:11,4,VENDOR3,,
USN000339,LINE003,WORKSTATION007,M5,USN000068,26-07-28 00:28:30,1,T,USER006,26-07-28 13:37:18,2,VENDOR5,,
USN000340,LINE005,WORKSTATION007,M1,USN000373,26-07-29 01:35:20,3,T,USER017,26-07-29 03:51:13,2,VENDOR2,,ERROR4
USN000341,LINE005,WORKSTATION001,M2,USN000229,26-07-30 01:18:43,1,T,USER003,26-07-30 13:34:36,1,VENDOR4,,
USN000342,LINE001,WORKSTATION002,M4,USN000176,26-07-31 21:25:55,3,T,USER010,26-07-31 13:05:36,1,VENDOR3,,
USN000343,LINE001,WORKSTATION001,M3,USN000755,26-08-01 12:53:55,0,T,USER005,26-08-01 14:28:15,4,VENDOR5,,
USN000344,LINE005,WORKSTATION001,M4,USN000670,26-08-02 08:00:57,1,T,USER002,26-08-02 07:11:35,5,VENDOR3,,
USN000345,LINE002,WORKSTATION010,M3,USN000018,26-08-03 20:16:05,1,T,USER001,26-08-03 04:55:40,4,VENDOR2,,
USN000346,LINE003,WORKSTATION007,M5,USN000841,26-08-04 20:51:40,3,F,USER012,26-08-04 10:27:59,2,VENDOR2,,
USN000347,LINE003,WORKSTATION009,M2,USN000466,26-08-05 00:05:29,0,T,USER008,26-08-05 17:44:19,4,VENDOR4,,
USN000348,LINE001,WORKSTATION004,M1,USN000331,26-08-06 07:19:12,2,T,USER004,26-08-06 11:46:49,5,VENDOR3,,
USN000349,LINE005,WORKSTATION004,M3,USN000871,26-08-07 01:24:29,2,T,USER007,26-08-07 07:17:03,3,VENDOR2,,
USN000350,LINE005,WORKSTATION002,M4,USN000742,26-08-08 15:44:21,2,T,USER016,26-08-08 17:07:53,2,VENDOR3,,
USN000351,LINE001,WORKSTATION007,M2,USN000357,26-08-09 03:17:59,0,T,USER019,26-08-09 20:53:21,4,VENDOR2,,
USN000352,LINE003,WORKSTATION005,M3,USN000553,26-08-10 22:22:02,0,T,USER020,26-08-10 18:22:34,4,VENDOR2,,
USN000353,LINE002,WORKSTATION008,M3,USN000222,26-08-11 02:00:59,2,T,USER011,26-08-11 23:11:07,5,VENDOR2,,
USN000354,LINE005,WORKSTATION004,M3,USN000984,26-08-12 00:12:54,2,T,USER003,26-08-12 15:45:16,1,VENDOR2,,
USN000355,LINE005,WORKSTATION004,M2,USN000584,26-08-13 09:32:01,3,T,USER018,26-08-13 21:23:38,1,VENDOR3,,
USN000356,LINE003,WORKSTATION004,M1,USN000488,26-08-14 13:42:35,2,T,USER016,26-08-14 05:27:35,5,VENDOR2,,
USN000357,LINE004,WORKSTATION009,M2,USN000411,26-08-15 17:21:12,1,T,USER016,26-08-15 10:19:15,1,VENDOR2,,
USN000358,LINE004,WORKSTATION010,M5,USN000810,26-08-16 06:27:08,1,T,USER011,26-08-16 11:07:11,3,VENDOR2,,
USN000359,LINE004,WORKSTATION002,M4,USN000427,26-08-17 12:48:09,0,T,USER005,26-08-17 01:15:04,3,VENDOR3,K5165843,ERROR1
USN000360,LINE005,WORKSTATION010,M3,USN000104,26-08-18 08:44:37,2,T,USER016,26-08-18 07:16:05,2,VENDOR1,,
USN000361,LINE004,WORKSTATION002,M1,USN000106,26-08-19 19:21:36,3,T,USER008,26-08-19 12:51:35,2,VENDOR5,,
USN000362,LINE001,WORKSTATION007,M1,USN000547,26-08-20 07:06:23,1,T,USER007,26-08-20 09:06:07,5,VENDOR5,,
USN000363,LINE005,WORKSTATION010,M2,USN000981,26-08-21 11:19:12,0,T,USER004,26-08-21 04:02:33,1,VENDOR1,,ERROR2
USN000364,LINE002,WORKSTATION004,M3,USN000652,26-08-22 20:00:10,0,T,USER004,26-08-22 19:39:20,3,VENDOR3,,
USN000365,LINE003,WORKSTATION004,M4,USN000327,26-08-23 02:35:38,0,T,USER003,26-08-23 00:39:53,3,VENDOR3,,
USN000366,LINE003,WORKSTATION003,M1,USN000223,26-08-24 16:49:35,0,T,USER015,26-08-24 02:38:55,1,VENDOR4,,
USN000367,LINE002,WORKSTATION005,M2,USN000992,26-08-25 13:29:21,3,T,USER012,26-08-25 13:28:45,3,VENDOR2,,
USN000368,LINE003,WORKSTATION004,M2,USN000854,26-08-26 11:27:20,0,F,USER001,26-08-26 10:05:34,4,VENDOR4,,ERROR5
USN000369,LINE003,WORKSTATION008,M3,USN000505,26-08-27 18:57:43,0,T,USER007,26-08-27 20:41:47,5,VENDOR5,,
USN000370,LINE005,WORKSTATION009,M4,USN000400,26-08-28 14:51:47,1,T,USER012,26-08-28 02:28:05,1,VENDOR3,,
USN000371,LINE001,WORKSTATION003,M2,USN000982,26-08-29 12:53:52,3,T,USER002,26-08-29 23:57:16,5,VENDOR2,,
USN000372,LINE005,WORKSTATION002,M4,USN000966,26-08-30 16:46:35,3,T,USER008,26-08-30 23:32:48,4,VENDOR5,,ERROR3
USN000373,LINE001,WORKSTATION004,M5,USN000538,26-08-31 06:02:35,3,T,USER018,26-08-31 09:30:47,1,VENDOR5,,
USN000374,LINE003,WORKSTATION010,M3,USN000229,26-09-01 04:44:40,2,T,USER005,26-09-01 20:05:53,5,VENDOR2,,
USN000375,LINE002,WORKSTATION006,M1,USN000823,26-09-02 08:51:21,2,T,USER003,26-09-02 10:44:49,2,VENDOR3,,
USN000376,LINE001,WORKSTATION003,M5,USN000332,26-09-03 17:34:11,1,T,USER016,26-09-03 07:57:47,3,VENDOR3,,
USN000377,LINE005,WORKSTATION001,M2,USN000838,26-09-04 15:49:27,0,T,USER010,26-09-04 11:49:12,3,VENDOR2,,
USN000378,LINE004,WORKSTATION006,M5,USN000119,26-09-05 21:15:40,2,T,USER008,26-09-05 08:09:59,4,VENDOR3,,
USN000379,LINE002,WORKSTATION010,M3,USN000369,26-09-06 02:06:17,0,T,USER004,26-09-06 12:13:08,2,VENDOR1,,
USN000380,LINE002,WORKSTATION006,M2,USN000469,26-09-07 00:12:53,0,T,USER012,26-09-07 15:34:24,4,VENDOR4,,
USN000381,LINE003,WORKSTATION008,M5,USN000086,26-09-08 11:23:11,3,T,USER017,26-09-08 09:15:22,5,VENDOR4,,
USN000382,LINE002,WORKSTATION001,M2,USN000672,26-09-09 14:38:36,2,T,USER019,26-09-09 00:58:40,2,VENDOR2,,
USN000383,LINE001,WORKSTATION001,M4,USN000108,26-09-10 19:11:41,0,T,USER006,26-09-10 07:47:54,2,VENDOR3,,
USN000384,LINE005,WORKSTATION005,M1,USN000343,26-09-11 21:01:12,3,T,USER019,26-09-11 03:26:59,2,VENDOR1,,
USN000385,LINE003,WORKSTATION004,M1,USN000906,26-09-12 13:58:03,1,T,USER019,26-09-12 01:20:09,5,VENDOR4,,
USN000386,LINE005,WORKSTATION010,M4,USN000335,26-09-13 12:05:13,2,T,USER001,26-09-13 12:22:37,2,VENDOR4,,
USN000387,LINE002,WORKSTATION002,M5,USN000862,26-09-14 17:29:28,3,T,USER010,26-09-14 19:39:18,3,VENDOR5,,
USN000388,LINE003,WORKSTATION004,M4,USN000156,26-09-15 10:40:59,3,T,USER001,26-09-15 16:00:58,5,VENDOR4,,
USN000389,LINE003,WORKSTATION004,M5,USN000835,26-09-16 17:51:50,2,T,USER017,26-09-16 23:04:03,5,VENDOR3,,
USN000390,LINE005,WORKSTATION002,M5,USN000919,26-09-17 11:52:43,3,T,USER001,26-09-17 02:17:31,5,VENDOR5,,
